"site","Descriptors","detailed_name","order_rank","New.names.of.Descriptors"
"Yenda","Unmodified_Fert.foliar","fertiliser applied to foliar",18,"Fert.foliar"
"Yenda","Control","Control",1,"Control"
"Yenda","Sweep.30_Cl@6.incorp_30","sweep 30cm with chicken litter at 6t/ha incorporated 30cm",95,"Sweep.30_ChickL@6.incorp_30"
"Yenda","Sweep.30_Cl@3.incorp_30.Lime.incorp_8","sweep 30cm with chicken litter at 3t/ha incorporated 30cm and lime incorporated 8cm",99,"Sweep.30_ChickL@3.incorp_30.Lime.incorp_8"
"Yenda","Unmodified_Fert.incorp_8","fertiliser incorporated 8cm",21,"Fert.incorp_8"
"Younghusband","Unmodified+DeepTill.18_SE14.band_8","deep tillage 18cm with SE14 (wetter) banded 8cm",147,"DeepTill.18_SE14.band_8"
"Younghusband","Unmodified+DeepTill.18_none","deep tillage 18cm with no amendments",146,"DeepTill.18"
"Younghusband","Rip.50_none","Ripping to 50cm with no amendments",113,"Rip.50"
"Younghusband","Spade.30_none","spade 30cm with no amendments",35,"Spade.30"
"Younghusband","Rip.50IncRip_none","Ripping to 50cm and inclusion with no amendments",130,"Rip.50IncRip"
"Younghusband","Unmodified_SE14.band_8","SE14 (wetter) banded 8cm",3,"SE14.band_8"
"Younghusband","Control","Control",1,"Control"
"Younghusband","Unmodified_Bi_Agra.surface+band_8","Bi Agra (wetter) surface and banded 8cm",4,"Bi_Agra.surface+band_8"
"Younghusband","Unmodified+OnRow_none","on row sowing with no amendments",2,"OnRow"
"Ouyen_Placement","Pre_drill_20+7.5_none","Pre drill to depth 20cm with growers standard fertiliser to 7.5cm with no additional amendments",29,"Pre_drill_20+7.5"
"Ouyen_Placement","Unmodified_none.Fert.surface","growers standard fertiliser to surface with no additional amendments",19,"Fert.surface"
"Ouyen_Placement","Rip_30+30_none_annual","Ripping to 30cm with growers standard fertiliser to 30cm with no amendments annually",90,"Rip_30+30_annual"
"Ouyen_Placement","Pre_drill_20+20_none","Pre drill to depth 20cm with growers standard fertiliser to 20cm with no additional amendments",31,"Pre_drill_20+20"
"Ouyen_Placement","Rip_30+30_Fert.banded_30_annual","Ripping to 30cm with growers standard fertiliser to 30cm with fertiliser banded 30cm annually",92,"Rip_30+30_Fert.banded_30_annual"
"Ouyen_Placement","Pre_drill_20+20_none_annual","Pre drill to depth 20cm with growers standard fertiliser to 20cm with no additional amendments performed annually",32,"Pre_drill_20+20_annual"
"Ouyen_Placement","Rip_30+30_Fert.banded_30","Ripping to 30cm with growers standard fertiliser to 30cm with fertiliser banded 30cm",91,"Rip_30+30_Fert.banded_30"
"Ouyen_Placement","Control","Control",1,"Control"
"Ouyen_Placement","Rip_30+7.5_none","Ripping to 30cm with growers standard fertiliser to 7.5cm with no amendments ",87,"Rip_30+7.5"
"Ouyen_Placement","Rip_30+7.5_none_annual","Ripping to 30cm with growers standard fertiliser to 7.5cm with no amendments annually",88,"Rip_30+7.5_annual"
"Ouyen_Placement","Pre_drill_20+20_Fert.banded_20","Pre drill to depth 20cm with growers standard fertiliser to 20cm with fertiliser banded at 20cm",33,"Pre_drill_20+20_Fert.banded_20"
"Ouyen_Placement","Pre_drill_20+20_Fert.banded_20_annual","Pre drill to depth 20cm with growers standard fertiliser to 20cm with fertiliser banded at 20cm annually ",34,"Pre_drill_20+20_Fert.banded_20_annual"
"Ouyen_Placement","Pre_drill_20+7.5_none_annual","Pre drill to depth 20cm with growers standard fertiliser to 7.5cm with no additional amendments annually",30,"Pre_drill_20+7.5_annual"
"Ouyen_Placement","Rip_30+30_none","Ripping to 30cm and 30cm with no amendments annually",89,"Rip_30+30"
